customer_id,age,balance,risk_profile,marketing_channel,offer_amount,previous_investments,responded_before,membership_tier,accepted
37,50,41474.83,high,sms,38090,0,0,standard,1
38,56,11428.64,medium,in_branch,13042,0,1,standard,1
39,47,386897.78,low,sms,67302,0,0,gold,0
40,26,326759.34,high,email,66181,1,0,platinum,0
41,40,406238.1,medium,sms,90289,1,0,standard,1
42,47,73077.12,high,phone,98931,1,0,standard,0
43,44,359527.15,high,phone,13037,0,0,standard,1
44,62,322733.88,medium,phone,64647,1,0,standard,1
45,18,274141.04,low,in_branch,13173,0,1,standard,1
46,35,462821.26,medium,email,61848,1,1,gold,0
47,36,331421.33,high,phone,98295,1,1,gold,0
48,28,123599.49,high,phone,12022,0,0,standard,1
49,29,179909.65,high,phone,67078,1,0,platinum,0
50,40,269504.88,medium,in_branch,21887,0,1,platinum,1
51,22,73588.04,low,phone,19970,0,1,gold,1
52,20,6264.08,high,in_branch,18373,0,1,gold,1
53,78,375557.68,low,in_branch,31152,0,1,platinum,1
54,83,40760.72,low,phone,76414,1,0,platinum,1
55,87,203827.3,medium,phone,48241,0,0,platinum,0
56,64,327793.4,medium,in_branch,62433,0,0,platinum,0
57,51,419839.41,low,email,26220,1,1,gold,1
58,63,5158.76,low,in_branch,73959,1,1,standard,1
59,77,128438.77,medium,sms,90492,1,0,standard,0
60,89,486902.32,low,email,8086,0,1,platinum,1
61,55,275807.1,low,sms,38275,0,0,standard,1
62,32,300678.16,medium,sms,15235,0,1,standard,1
63,41,320284.67,medium,sms,19138,0,1,platinum,1
64,32,157346.68,medium,email,97105,1,0,gold,0
65,51,23835.38,low,email,95816,1,1,platinum,1
66,61,457054.25,high,email,51509,1,0,standard,1
67,80,213685.69,low,in_branch,66805,0,1,platinum,1
68,33,329622.57,high,email,49685,0,0,gold,0
69,65,294.08,high,phone,46443,1,0,standard,1
70,43,340626.08,low,sms,6331,1,1,standard,1
71,51,52475.76,high,in_branch,61345,1,1,standard,1
72,46,478217.55,medium,phone,41770,0,1,platinum,1
73,47,299955.97,medium,phone,88304,0,0,standard,0
74,25,414015.62,high,phone,89343,0,0,standard,1
75,75,181191.64,low,email,14171,0,1,gold,1
76,53,319501.77,high,phone,92661,1,1,platinum,1
77,67,403448.84,medium,in_branch,23100,0,0,platinum,1
78,19,264960.72,medium,sms,22180,0,0,gold,1
79,58,32888.94,medium,email,22282,0,0,standard,1
80,54,350762.83,low,sms,23331,1,0,standard,1
81,38,403508.53,low,phone,83116,1,0,platinum,1
82,44,418820.4,medium,in_branch,22840,1,1,standard,1
83,51,297345.93,high,email,66015,1,1,platinum,1
84,67,396635.89,high,sms,31442,1,1,platinum,1
85,85,205802.2,medium,phone,64898,1,1,platinum,0
86,23,61787.18,high,phone,79935,1,0,platinum,1
87,63,221148.51,low,email,54551,1,0,platinum,1
88,87,255566.57,medium,in_branch,65166,1,0,gold,1
89,70,183130.84,medium,sms,53932,0,1,gold,1
90,24,126166.56,low,in_branch,21208,1,1,platinum,1
91,63,294339.62,high,sms,92443,0,1,gold,1
92,72,440475.28,high,email,38194,1,0,platinum,1
93,46,168404.48,high,in_branch,13049,0,0,gold,0
94,87,80089.45,high,email,43992,0,0,platinum,0
95,59,255857.72,medium,in_branch,77957,1,0,gold,1
96,65,249641.98,low,in_branch,80050,0,0,standard,0
97,77,29219.66,high,email,59848,1,1,platinum,0
98,45,311944.58,high,email,59616,0,1,gold,1
99,78,79126.62,high,email,75135,0,1,standard,0
100,20,31360.4,medium,sms,99289,0,1,gold,0
101,35,245689.37,medium,sms,32147,1,1,platinum,1
102,78,188981.7,medium,in_branch,34612,1,0,platinum,1
103,40,338589.66,low,email,9187,0,0,platinum,1
104,87,194217.6,high,sms,83956,0,1,platinum,1
105,34,20536.22,high,in_branch,77271,0,1,platinum,0
106,65,122013.68,medium,sms,20279,1,1,platinum,1
107,74,164608.97,low,phone,23085,0,1,gold,1
108,65,259015.48,low,sms,46548,1,0,gold,1
109,18,392931.36,medium,sms,84344,1,0,gold,0
110,64,374245.25,medium,phone,53718,0,1,gold,0
111,37,324120.71,low,in_branch,30826,1,0,platinum,1
112,27,254332.52,low,email,39321,0,0,standard,1
113,83,283158.34,medium,in_branch,92951,0,1,platinum,0
114,24,97917.28,medium,in_branch,64527,1,0,standard,1
115,62,428689.83,low,phone,5269,0,0,platinum,1
116,73,70115.57,low,in_branch,14659,1,0,standard,1
117,29,1283.04,low,email,82726,0,0,standard,1
118,25,406161.95,medium,phone,21887,1,1,standard,1
119,22,170586.66,medium,phone,59619,0,1,standard,0
120,34,341629.24,medium,email,58138,1,0,platinum,1
121,39,255780.7,medium,sms,70625,0,1,standard,1
122,74,224016.9,low,phone,52238,0,0,platinum,1
123,36,76508.69,medium,phone,9061,1,1,platinum,1
124,36,249148.66,high,in_branch,21485,0,0,standard,0
125,47,366447.24,high,email,8503,1,0,platinum,1
126,60,312785.61,low,phone,55001,0,0,standard,1
127,77,499606.03,high,in_branch,9325,0,1,gold,1
128,56,141589.35,high,phone,11482,0,0,platinum,1
129,75,495851.87,medium,phone,73533,0,1,platinum,0
130,69,446589.82,high,in_branch,49245,1,0,platinum,1
131,28,67054.93,medium,phone,88200,0,0,standard,0
132,73,219770.8,medium,phone,61695,0,0,platinum,1
133,28,444024.1,medium,email,57601,0,0,gold,0
134,85,99575.14,high,phone,29470,0,0,platinum,1
135,25,122667.18,low,email,55450,1,1,standard,1
136,87,496637.77,high,in_branch,11331,0,0,standard,1
137,70,286985.87,medium,in_branch,25113,0,0,standard,1
138,31,92580.74,medium,phone,58155,1,1,standard,1
139,56,80424.48,low,in_branch,39749,0,0,platinum,1
140,46,377582.44,low,phone,14002,1,0,platinum,1
141,39,378824.98,high,sms,42221,0,1,standard,1
142,53,147666.91,low,email,58419,0,0,platinum,1
143,89,162259.82,high,email,74774,0,0,gold,0
144,68,264467.82,high,phone,50983,1,1,standard,0
145,23,327192.48,high,phone,81350,1,1,platinum,1
146,37,434111.45,high,phone,72071,1,0,gold,0
147,88,413207.59,low,email,28061,0,1,platinum,1
148,43,262623.06,high,email,86297,1,1,platinum,1
149,50,245045.94,medium,in_branch,94028,1,0,platinum,1
150,60,67256.24,medium,sms,56676,0,0,standard,1
151,81,416304.98,medium,sms,16027,1,0,gold,1
152,62,279213.56,medium,email,20751,1,0,gold,1
153,24,189144.47,medium,email,90424,1,0,standard,0
154,83,112739.27,high,phone,86815,1,0,platinum,1
155,69,250705.57,medium,in_branch,43677,1,0,platinum,1
156,71,382707.58,low,email,18758,1,1,standard,1
157,34,55165.25,medium,email,12920,1,0,gold,1
158,53,140288.35,high,in_branch,44379,1,1,platinum,1
159,34,29616.52,high,email,22530,0,1,standard,0
160,33,15563.27,low,email,73423,1,0,gold,1
161,29,485695.29,low,email,15391,1,0,platinum,1
162,75,100997.01,medium,in_branch,71842,1,1,gold,1
163,59,61644.97,low,email,67837,1,1,gold,1
164,48,170576.04,high,sms,24678,1,1,gold,1
165,54,216940.3,low,in_branch,13289,0,1,platinum,1
166,80,397034.63,high,sms,58786,0,0,standard,0
167,28,51588.43,low,sms,55976,0,0,gold,1
168,84,484205.85,high,phone,17575,0,0,standard,1
169,80,499084.32,high,sms,16821,1,0,platinum,1
170,33,410707.7,high,phone,78797,0,0,standard,0
171,27,71187.78,high,phone,30078,0,0,gold,1
172,76,91024.24,low,email,91639,0,1,gold,0
173,60,417969.81,high,sms,84039,1,1,platinum,0
174,40,173152.83,high,phone,5772,1,1,standard,1
175,60,233306.59,medium,sms,76817,1,1,gold,1
176,48,483910.72,medium,phone,15192,0,0,standard,1
177,81,303629.63,high,sms,25946,0,0,gold,1
178,56,161878.14,low,phone,88614,0,0,standard,1
179,36,371740.42,low,sms,48660,1,1,gold,1
180,59,407192.31,high,sms,7961,1,1,platinum,1
181,89,217307.75,low,sms,71225,1,1,platinum,1
182,86,398883.1,high,email,22967,1,0,standard,1
183,65,428226.13,low,sms,43387,1,0,standard,1
184,63,428755.94,medium,email,8178,1,1,gold,1
185,81,341383.89,high,in_branch,50900,1,0,platinum,0
186,44,149255.31,low,phone,66577,1,1,platinum,0
187,68,115033.44,high,in_branch,38112,0,1,platinum,1
188,59,289286.55,medium,in_branch,86867,0,0,platinum,0
189,38,184201.66,low,in_branch,11911,1,0,gold,1
190,37,43993.29,low,phone,70437,1,1,standard,1
191,72,441165.71,low,email,61846,1,1,standard,1
192,84,240936.03,low,email,42258,1,1,standard,1
193,47,41126.35,high,in_branch,29370,0,1,gold,1
194,66,139760.07,high,email,41719,0,0,standard,1
195,22,242854.61,high,sms,49800,1,0,gold,0
196,71,451873.59,low,sms,71484,1,0,standard,1
197,58,303565.05,low,phone,61138,0,1,standard,0
198,72,81249.48,low,sms,86849,0,1,platinum,1
199,87,358059.31,medium,phone,51569,0,0,platinum,1
200,75,325435.01,medium,email,62166,1,1,standard,0
201,85,465040.9,medium,in_branch,40611,1,0,gold,0
202,69,69943.09,low,sms,63283,1,0,gold,1
203,50,112055.21,medium,sms,86949,0,1,gold,0
204,72,133514.28,low,sms,91013,0,0,platinum,0
205,81,481630.14,low,phone,43280,1,0,gold,1
206,74,282054.84,medium,email,16602,0,0,platinum,1
207,85,127332.5,low,email,75058,1,0,standard,1
208,41,462782.95,high,phone,78078,1,1,standard,1
209,63,469204.54,high,email,62114,0,1,standard,1
210,36,107023.94,high,phone,24077,0,0,platinum,1
211,81,162394.66,high,sms,27914,1,1,gold,1
212,21,402052.07,medium,phone,55556,0,0,gold,1
213,54,397272.27,low,phone,68831,1,0,standard,1
214,41,73132.48,medium,email,83843,0,1,gold,0
215,37,113061.45,medium,in_branch,55759,1,1,gold,1
216,55,185718.8,low,email,98993,0,1,standard,1
217,66,487830.19,low,in_branch,35969,1,0,platinum,1
218,65,52310.28,high,phone,56416,1,0,standard,1
219,68,145840.08,high,phone,59523,0,1,standard,0
220,30,468714.06,medium,email,6227,1,0,standard,1
221,40,63140.47,low,email,13060,0,0,standard,1
222,39,289687.47,high,in_branch,33538,1,0,standard,1
223,80,206970.4,low,in_branch,97757,0,1,standard,0
224,36,128362.61,high,phone,74695,0,0,gold,0
225,61,209717.72,high,phone,56495,0,1,standard,0
226,51,206877.67,medium,phone,8108,0,1,gold,1
227,88,112004.36,medium,phone,8895,1,0,gold,1
228,18,474307.23,low,in_branch,67784,0,1,platinum,1
229,68,353187.23,high,in_branch,67052,1,0,platinum,1
230,37,288310.9,low,in_branch,43641,1,1,standard,1
231,67,255620.65,medium,phone,45425,0,0,platinum,1
232,40,33712.69,medium,email,15884,0,0,platinum,1
233,53,448931.97,low,sms,13319,0,0,standard,1
234,36,33832.03,low,sms,44998,1,1,standard,1
235,39,97347.57,low,email,29251,1,1,platinum,1
236,24,33665.27,low,in_branch,84490,0,1,gold,0
237,48,277770.36,medium,in_branch,54081,0,1,standard,1
238,57,40402.04,medium,email,59802,0,0,standard,0
239,57,182861.33,low,in_branch,83410,1,1,standard,1
240,63,155728.46,low,sms,71069,0,1,gold,1
241,75,439593.47,medium,in_branch,85129,1,0,gold,1
242,30,250074.84,high,email,61316,0,0,standard,0
243,58,453544.5,high,in_branch,84685,1,0,platinum,0
244,84,77038.9,medium,sms,27421,0,0,gold,1
245,76,197807.77,high,phone,13215,0,0,platinum,1
246,67,321096.88,medium,in_branch,91653,0,0,standard,0
247,47,142992.35,low,phone,77421,1,1,standard,1
248,67,170332.44,high,in_branch,64661,0,0,platinum,0
249,28,460804.47,high,phone,61682,1,1,platinum,1
250,54,439746.66,high,email,57790,0,1,gold,0
251,58,18501.55,low,phone,57754,1,0,gold,1
252,48,57478.1,high,phone,12111,1,0,gold,1
253,62,277568.09,high,phone,52163,0,1,standard,1
254,89,326576.46,high,in_branch,9412,0,1,gold,1
255,30,200879.58,low,sms,63408,0,0,gold,0
256,84,317118.46,low,sms,72455,0,1,standard,0
257,59,58235.91,low,email,88440,0,1,standard,1
258,37,25812.01,low,phone,56042,1,1,standard,1
259,25,329853.34,medium,sms,6515,1,0,platinum,1
260,40,320996.99,low,phone,10560,0,1,standard,1
261,81,15820.82,low,in_branch,45251,0,1,standard,1
262,49,43895.76,low,sms,37424,0,1,platinum,1
263,22,270182.14,medium,in_branch,60224,0,1,gold,1
264,66,157582.26,medium,sms,29025,0,0,standard,1
265,22,428719.64,high,email,36028,0,0,standard,1
266,36,317280.51,high,sms,75743,0,1,platinum,0
267,43,297140.36,medium,in_branch,55834,0,0,platinum,0
268,24,85232.04,medium,email,71292,1,0,platinum,1
269,80,226589.82,medium,sms,23662,0,1,gold,1
270,24,183352.85,high,phone,69621,1,0,gold,1
271,41,118938.55,high,phone,5008,0,1,platinum,1
272,47,479819.78,medium,email,53809,0,1,standard,1
273,33,48483.87,medium,in_branch,80873,1,0,platinum,1
274,62,378889.65,high,phone,38756,0,1,standard,1
275,41,94059.92,high,sms,41012,1,0,platinum,1
276,41,47439.9,medium,sms,56081,0,1,platinum,1
277,57,87050.45,high,email,6299,1,0,standard,1
278,55,165571.43,medium,email,47394,0,1,platinum,1
279,59,391134.63,medium,in_branch,97548,0,0,gold,0
280,25,45609.91,low,email,69500,1,0,platinum,1
281,42,492124.37,medium,phone,16933,1,1,platinum,1
282,56,102059.29,medium,in_branch,42050,0,1,platinum,0
283,81,305254.59,high,phone,51949,1,1,gold,1
284,40,180876.92,low,email,55219,0,1,standard,1
285,88,139172.99,low,in_branch,87132,0,0,platinum,1
286,31,453952.12,medium,phone,24164,1,0,gold,1
287,86,376626.99,low,in_branch,68924,1,1,standard,0
288,54,87413.07,medium,phone,57366,1,1,gold,1
289,65,232066.95,high,email,87013,0,1,gold,1
290,42,179261.14,high,phone,38001,1,0,standard,1
291,88,320680.97,low,email,96991,1,0,gold,0
292,85,165839.91,high,sms,51178,1,0,platinum,0
293,30,86070.28,low,phone,79772,0,1,standard,1
294,41,173003.94,high,phone,97990,1,1,standard,0
295,68,331478.19,high,email,88775,0,0,gold,0
296,30,457359.28,low,email,21420,1,1,gold,1
297,18,398963.49,high,email,75019,0,0,platinum,0
298,24,171745.39,medium,in_branch,36978,0,1,platinum,1
299,30,463436.77,low,in_branch,71268,0,1,standard,1
300,72,432859.53,high,email,35926,0,0,standard,0
301,84,464681.63,medium,in_branch,60317,0,1,platinum,1
302,26,485086.95,high,phone,54076,0,0,platinum,1
303,60,44258.48,low,phone,48158,0,1,platinum,1
304,28,150789.86,low,sms,47962,0,1,gold,1
305,84,184097.69,low,phone,70868,1,1,gold,1
306,21,124861.52,low,phone,96990,1,1,gold,1
307,52,280399.73,high,sms,26096,0,0,standard,0
308,55,42621.18,medium,phone,27823,0,0,platinum,1
309,73,154344.51,medium,phone,89455,1,1,platinum,0
310,32,80225.46,low,sms,84279,0,1,standard,1
311,84,4919.07,medium,email,76497,0,1,standard,1
312,24,35811.65,medium,email,7154,1,1,standard,1
313,49,470531.5,medium,in_branch,6452,1,1,standard,1
314,51,132462.25,low,phone,63501,0,1,platinum,1
315,37,129862.51,medium,phone,90143,1,1,gold,0
316,36,42899.89,medium,sms,37904,0,1,standard,1
317,72,199732.94,high,in_branch,52844,0,1,standard,1
318,65,159875.06,high,phone,32202,0,0,gold,1
319,59,148586.09,high,email,32798,0,1,platinum,1
320,85,290128.44,low,sms,56643,0,0,standard,1
321,32,144541.45,medium,in_branch,9450,1,0,standard,1
322,38,454370.9,medium,email,15712,0,1,gold,1
323,59,364598.25,high,sms,7572,0,1,platinum,1
324,29,81405.72,low,in_branch,86954,1,1,gold,1
325,22,265654.01,medium,in_branch,40659,1,1,standard,1
326,21,53638.85,high,phone,20581,0,0,gold,1
327,59,114642.43,high,email,11952,1,1,gold,1
328,33,152895.04,medium,in_branch,16014,1,0,platinum,1
329,37,383300.39,high,sms,71544,1,1,standard,0
330,19,350808.23,low,email,5218,1,0,gold,1
331,22,404947.44,low,sms,97659,0,1,gold,1
332,53,355970.22,high,sms,7577,0,0,gold,1
333,82,160478.16,high,phone,28449,0,0,gold,1
334,52,46445.0,low,sms,11310,0,1,platinum,1
335,70,262707.9,low,phone,41225,1,1,standard,1
336,66,362540.44,low,in_branch,93689,1,0,platinum,1
337,54,355073.55,low,phone,33536,1,0,standard,1
338,22,297684.23,low,in_branch,57244,0,1,platinum,1
339,53,283179.57,low,phone,8599,0,1,standard,1
340,88,263903.04,low,sms,78832,0,1,gold,1
341,21,292476.93,high,sms,84725,0,1,gold,0
342,67,82276.23,high,phone,16734,0,1,platinum,1
343,36,164646.3,high,in_branch,8324,0,0,gold,0
344,86,402382.7,high,sms,48519,1,1,gold,1
345,61,16281.0,medium,sms,76948,0,1,standard,0
346,79,291357.6,high,in_branch,6985,1,0,platinum,1
347,29,391981.03,high,phone,48446,0,0,gold,1
348,76,242653.8,high,phone,43664,1,1,platinum,1
349,43,290412.43,high,sms,10295,0,0,platinum,1
350,24,45409.01,medium,email,6544,1,1,platinum,1
351,22,257290.8,low,phone,89875,1,0,gold,0
352,33,93185.04,high,in_branch,21484,1,0,standard,1
353,62,253072.6,medium,email,13752,0,0,gold,1
354,73,227951.11,low,email,57666,1,1,standard,1
355,84,338521.35,medium,phone,88320,1,0,gold,1
356,54,487437.38,low,phone,40941,0,0,platinum,1
357,32,463312.25,medium,in_branch,21049,1,1,platinum,1
358,22,73365.56,low,phone,89119,1,1,standard,1
359,31,196508.31,medium,sms,79029,1,1,standard,1
360,43,445023.27,medium,phone,59535,0,0,platinum,1
361,18,450820.08,medium,in_branch,5164,0,0,platinum,1
362,73,173698.69,medium,sms,23362,0,1,platinum,1
363,78,464437.84,low,sms,51661,0,1,gold,1
364,83,178649.19,low,email,97130,0,0,standard,0
365,84,412624.51,high,phone,75848,1,0,platinum,0
366,20,315328.3,medium,sms,34977,0,0,standard,1
367,45,242188.06,low,in_branch,22874,0,0,platinum,1
368,45,268592.99,high,phone,54530,0,0,standard,0
369,35,139419.97,low,email,45074,0,1,gold,1
370,48,178023.05,low,in_branch,33139,1,0,gold,1
371,87,318600.99,low,sms,35237,1,0,platinum,1
372,42,365383.47,medium,email,87255,0,1,gold,1
373,31,399944.65,medium,sms,87279,1,1,gold,1
374,23,132016.64,high,phone,67072,0,1,platinum,1
375,55,362707.84,low,email,75274,1,1,platinum,1
376,38,137424.93,low,phone,86983,0,0,platinum,1
377,73,187844.26,low,in_branch,99307,1,1,standard,0
378,59,188771.83,high,email,84807,0,0,platinum,1
379,84,131398.82,low,phone,34497,0,1,platinum,1
380,65,72912.5,high,phone,70385,0,1,gold,0
381,22,48815.92,medium,sms,46412,1,0,gold,1
382,88,376806.54,low,in_branch,9185,0,1,gold,1
383,24,13017.55,low,email,10855,1,0,standard,1
384,77,270293.0,medium,in_branch,98535,0,0,standard,0
385,56,440419.19,low,in_branch,89160,0,1,gold,1
386,52,461216.14,high,email,76940,0,0,standard,0
387,85,410841.16,medium,email,56201,0,1,standard,1
388,25,395649.75,low,sms,73743,1,1,gold,1
389,82,344830.99,high,in_branch,46421,1,1,platinum,1
390,80,204074.19,high,email,13943,1,0,platinum,1
391,55,225262.25,low,sms,10577,1,1,standard,1
392,66,42565.1,high,sms,33433,0,1,platinum,1
393,89,211571.43,high,sms,79602,0,1,standard,0
394,63,193019.89,high,email,75689,0,0,platinum,0
395,60,239318.23,low,sms,50109,0,1,platinum,1
396,27,97189.51,low,sms,78245,1,0,gold,1
397,87,383613.03,low,phone,49906,0,0,standard,0
398,72,495975.35,high,in_branch,57713,0,1,standard,1
399,18,210850.13,high,sms,75104,0,1,platinum,0
400,33,349963.99,low,email,78217,1,1,platinum,1
401,76,493017.61,high,phone,89049,0,0,standard,0
402,45,489228.58,low,sms,52773,0,1,standard,1
403,74,386919.41,medium,sms,11787,1,1,gold,1
404,60,388182.14,low,in_branch,64184,0,1,gold,1
405,79,475050.56,high,phone,99452,0,1,standard,0
406,42,16007.0,high,sms,39864,0,0,gold,1
407,37,103255.82,high,sms,11992,1,1,standard,1
408,84,7807.07,medium,sms,30663,0,0,platinum,1
409,34,200216.78,low,sms,39331,0,1,standard,0
410,62,86529.51,low,email,60004,1,1,platinum,1
411,63,295448.14,low,email,29676,1,0,platinum,1
412,65,494660.11,low,phone,15428,0,0,gold,1
413,65,65734.1,medium,phone,98467,1,1,platinum,0
414,26,361527.5,high,phone,73286,1,1,standard,0
415,76,293678.16,medium,in_branch,91751,1,0,platinum,1
416,25,133505.54,medium,in_branch,9886,1,0,platinum,1
417,83,361267.57,medium,sms,21554,1,0,gold,1
418,88,332507.55,high,in_branch,89514,0,0,standard,0
419,54,257560.41,low,email,92787,0,1,gold,1
420,87,190645.24,high,sms,41729,1,1,gold,1
421,41,301216.47,medium,phone,51187,0,1,standard,0
422,38,34226.46,low,in_branch,21577,0,1,gold,1
423,53,115125.75,high,in_branch,41501,0,1,standard,0
424,73,331608.56,high,sms,95758,1,0,platinum,1
425,52,390120.57,medium,phone,58933,0,0,gold,1
426,34,350377.04,high,sms,76339,0,0,platinum,0
427,54,257884.57,low,sms,86569,0,0,standard,1
428,88,176488.34,low,phone,95981,0,0,gold,1
429,55,359286.43,high,in_branch,69228,1,1,platinum,1
430,54,347205.94,high,phone,84835,0,1,standard,0
431,24,43825.98,high,sms,89094,1,0,platinum,0
432,37,328027.59,medium,sms,83241,1,0,platinum,0
433,82,395887.74,medium,in_branch,86228,1,1,gold,0
434,57,152764.33,medium,sms,97246,0,0,platinum,0
435,51,492061.81,medium,in_branch,37091,0,0,standard,1
436,46,250409.89,high,phone,56029,1,0,platinum,1
437,76,495986.06,low,phone,35932,0,0,platinum,1
438,54,132370.66,low,in_branch,22353,1,0,gold,1
439,57,173518.54,medium,phone,61968,0,0,platinum,0
440,72,347856.98,low,email,67761,1,0,platinum,1
441,59,478778.69,medium,sms,37877,1,0,standard,1
442,71,133053.8,high,phone,81728,0,0,standard,1
443,59,54419.03,low,phone,9222,1,0,standard,1
444,29,368528.52,low,sms,88180,0,0,gold,0
445,84,205775.25,low,phone,61765,0,1,gold,1
446,50,437115.92,high,email,98257,1,1,gold,1
447,40,45769.01,high,in_branch,42591,1,0,gold,1
448,49,390591.18,low,phone,29496,1,1,gold,1
449,60,402704.08,medium,email,82931,0,1,platinum,0
450,67,254663.66,high,sms,94326,1,1,standard,0
451,75,38352.21,medium,phone,32906,0,0,standard,1
452,59,74229.37,medium,in_branch,93334,1,0,standard,1
453,33,2703.39,medium,sms,18789,0,1,standard,1
454,72,81152.96,low,in_branch,15377,0,0,platinum,0
455,70,200407.67,medium,phone,47325,1,0,standard,0
456,31,162539.14,high,email,36894,0,0,standard,1
457,81,193258.13,high,in_branch,30869,1,0,gold,1
458,51,88155.7,high,in_branch,9754,1,1,standard,1
459,20,446159.01,low,phone,51103,1,0,gold,1
460,39,192863.87,low,email,21680,0,0,platinum,1
461,51,28658.17,medium,email,67262,0,1,platinum,1
462,20,465726.03,low,in_branch,89886,1,1,standard,1
463,24,60423.93,low,email,65191,1,1,platinum,1
464,46,280671.52,low,email,56346,0,1,platinum,1
465,86,153643.79,low,sms,28175,0,0,standard,1
466,83,360657.71,low,sms,64383,1,0,gold,1
467,46,26861.45,high,phone,93669,0,0,gold,0
468,40,152951.82,high,email,16179,1,1,standard,1
469,82,434287.5,low,in_branch,52702,0,1,gold,1
470,32,227642.18,medium,phone,67861,0,0,standard,1
471,34,150029.26,low,sms,76891,1,0,gold,1
472,61,398685.76,low,phone,30426,0,0,platinum,1
473,69,490620.76,medium,sms,41312,0,1,gold,1
474,45,295279.8,medium,sms,50109,0,1,gold,1
475,66,128992.8,medium,phone,43923,1,0,platinum,1
476,43,152698.14,low,sms,5189,0,1,platinum,1
477,25,150253.87,low,sms,62222,0,1,gold,1
478,63,210365.15,high,phone,70873,1,1,gold,1
479,69,336526.32,high,sms,70194,1,0,platinum,1
480,56,453668.9,low,in_branch,60568,1,1,gold,1
481,75,179258.77,medium,sms,79092,1,0,gold,1
482,18,282816.31,high,sms,70093,1,0,standard,1
483,45,175869.81,medium,sms,93768,1,0,platinum,0
484,71,270700.88,medium,email,88439,0,1,platinum,0
485,61,284123.9,medium,in_branch,9173,0,0,standard,1
486,26,61316.67,low,email,63970,0,0,platinum,0
487,79,459771.6,medium,phone,46676,1,1,gold,0
488,57,23375.96,medium,email,72824,0,1,platinum,0
489,33,149907.29,low,email,41816,1,1,gold,1
490,22,448758.72,medium,phone,8933,0,0,gold,1
491,41,444882.07,medium,in_branch,79814,1,1,platinum,1
492,61,353112.15,high,in_branch,45822,0,1,standard,0
493,51,147960.26,low,email,36845,1,0,standard,1
494,20,472214.13,high,phone,24259,1,0,gold,1
495,70,376325.52,medium,in_branch,85022,1,0,platinum,1
496,71,148121.56,high,email,98211,1,1,gold,0
497,32,235965.33,high,phone,45437,1,0,platinum,0
498,76,213956.72,medium,sms,58900,1,1,gold,1
499,41,310085.03,medium,in_branch,99167,1,1,standard,1
500,51,406209.71,low,phone,20791,1,0,platinum,1
501,87,46448.37,high,in_branch,41169,0,0,standard,1
502,89,84892.73,medium,in_branch,79723,1,0,platinum,1
503,84,412109.67,high,sms,70745,0,0,standard,0
504,57,318527.09,high,sms,85732,0,0,standard,0
505,53,16238.62,high,in_branch,81253,1,1,platinum,1
506,78,433925.55,medium,phone,30382,0,0,standard,1
507,29,161103.53,medium,email,89465,1,1,gold,0
508,23,422989.18,medium,in_branch,96470,0,1,gold,0
509,85,4798.38,high,sms,84908,0,0,platinum,0
510,38,53829.42,high,phone,98288,1,0,platinum,0
511,54,480202.75,low,email,45687,1,1,standard,1
512,57,393751.12,medium,in_branch,18473,1,0,gold,1
513,61,230921.87,medium,in_branch,81947,0,0,standard,1
514,40,165542.64,low,in_branch,32614,1,1,platinum,1
515,87,118714.05,high,email,25250,1,1,standard,1
